group_id,group_name,post_id,comment_text
-50536362,hodimvmore,542373,При мне все отказывались в них нырять после нескольких смертельных случаев со сломанными шеями.
-50536362,hodimvmore,542360,Не ту профессию человек выбрал
-50536362,hodimvmore,542360,"[id638759578|Evge], именно ту, раньше все такие были, это сей час все на кнопках, без шпиля хрен пришватуются 🤣🤣🤣"
-50536362,hodimvmore,542360,"[id51908497|Роман], именно другую  , покрасоваться можно и в зале перед девочками  а не перед своими филлипками или идти работать на круизный лайнер чтобы дальше красоваться, я считаю что этому человеку делать нечего на судне как только  красоваться , я тоже занимаюсь на судне когда есть время но хернёй такой я не страдаю. Мы все едем зарабатывать деньги , работать ."
-50536362,hodimvmore,542360,"[id638759578|Evge], контракты не вечные, на берегу можно покрасоваться особенно летом на пляже, а не пивным волосатым Оренбургским кранцем"
-50536362,hodimvmore,542360,"Видимо, ценный специалист"
-50536362,hodimvmore,542360,Скорей когда на химии🥱
-50536362,hodimvmore,542360,"[id444454351|Игорь], 100%, но кому не похуй?!"
-50536362,hodimvmore,542360,Химовоз?
-50536362,hodimvmore,542360,"[id552689678|Сергей], не, балкер ))"
-50536362,hodimvmore,542360,"[id51908497|Роман], на химии чел,при чем тут балкер🤦🏻‍♂️😂🤣😂🤣"
-50536362,hodimvmore,542360,"[id8157500|Mikhail], Роман живёт в своём  прекрасном мире"
-50536362,hodimvmore,542360,"[id638759578|Evge], 😂🤣👍"
-50536362,hodimvmore,542360,Хуя у Вас с юмором беда.
-50536362,hodimvmore,542360,"От пропускает день ног о день пресса 
Какой-то перекос на плечи"
-50536362,hodimvmore,542360,"[id495273317|Константин], пляжник."
-50536362,hodimvmore,542360,На рыбе этот супермен через три вахты сдохнет.
-50536362,hodimvmore,542360,"[id730208444|Сергей], а в забое и вообще за две... А по рытью окопов тоже вряд ли в норматив вложиться. И? Чё дальше?"
-50536362,hodimvmore,542360,НАРЦИСС...
-50536362,hodimvmore,542360,З-зависть 😅
-50536362,hodimvmore,542360,👍🤝
-50536362,hodimvmore,542360,"[id411294402|Семен], ни вам это"
-50536362,hodimvmore,542360,Ни то нажал
-50536362,hodimvmore,542360,"Был бы на краболове, или на рыбаке, там ни до спорта"
-50536362,hodimvmore,542360,Есть силы на тренировку! Значит плохо работает 🤣 и много спит
-50536362,hodimvmore,542355,"Где, кофемашина?)🤣"
-50536362,hodimvmore,542355,"Тогда протащить его под килем от бака до кормы, чтобы об ракушечник распоролся, тоже по традициям 😁только пиратским правда 😆"
-50536362,hodimvmore,542355,"Краска JOTUN хорошая краска, дорогая."
-50536362,hodimvmore,542355,"[id712870073|Сергей], главное не ниппон"
-50536362,hodimvmore,542355,"[id712870073|Сергей], тут весьма спорный вопрос, как то привезли нам этот jotun, что вся палуба, что машина плевались на эту краску…."
-50536362,hodimvmore,542355,"Ютоновкая краска, хорошая"
-50536362,hodimvmore,542355,"Лучше красить якорь краской Jotun, чем осенью пожелтевшую траву перед приездом начальства на плацу."
-50536362,hodimvmore,542355,"а то, что в Неву накапает это норм?"
-50536362,hodimvmore,542355,"[id753217257|Ва], было бы судно гражданское, уже во все щели имели бы компанию и экипаж"
-50536362,hodimvmore,542355,"Боцман под якорем шкрябает борт;
Ленточный стопор матрос отдаёт...
Быстренько якорь касается дна...
Освободилась каюта одна!!! 😂😂😂"
-50536362,hodimvmore,542355,Тут больше восторга вызывает краска йотуновская
-50536362,hodimvmore,542355,Килеванием ?
-50536362,hodimvmore,542346,Какой слог!!!
-50536362,hodimvmore,542346,"Редкое  сочетаниекрасивого слога , подчерка... И лютых грамматических ошибок 😁"
-50536362,hodimvmore,542327,Рукожоп
-50536362,hodimvmore,542327,Этому судну лет 300?
-50536362,hodimvmore,542327,Болт вместо ручки)
-50536362,hodimvmore,542327,Забил Болт))
-50536362,hodimvmore,542317,"Последствия урагана и подъема воды. В ""Катрину"" видел"
-50536362,hodimvmore,542317,Спуфинг🤷‍♂️
-50536362,hodimvmore,542317,Съёмки новой серии Форсажа ? 🤔
-50536362,hodimvmore,542317,STS
-50536362,hodimvmore,542317,Море высохло
-50536362,hodimvmore,542317,Идея для рентв
-50536362,hodimvmore,542317,"Кэп настолько увлёкся гонками и не учёл, что с горки когда идёшь, то трудней тормозить и вмазался в оппонента на повороте, сразу же всё понятно! 🤪"
-50536362,hodimvmore,542309,"Чмоки-чмоки, как сказала бы нынешняя молодежь..."
-50536362,hodimvmore,542309,"[id9442020|Александр], жопами штоле?"
-50536362,hodimvmore,542309,Так понятнее?
-50536362,hodimvmore,542309,"[id9442020|Александр], надо же, и ходит жопой вперёд... 😊"
-50536362,hodimvmore,542309,"[id7205974|Александр], это у него НОС -такой..."
-50536362,hodimvmore,542309,Дяденьки пьют Пиво СРАКАМИ !
-50536362,hodimvmore,542293,"Маслопупов, рыбаков, и прочую нечисть😀, не пускают на мостик белых пароходов😂"
-50536362,hodimvmore,542293,"[id3442335|Иван],мы будем молиться за тебя, чтобы тебя размотало по всей дороги,а хоронили в закрытом гробу"
-50536362,hodimvmore,542293,"[id289474813|Дмитрий], доброта - главное оружие 😂  0% осуждения"
-50536362,hodimvmore,542293,"[id289474813|Дмитрий], его наверное механики избили и изнасиловали. Вот он и злится теперь. Альтернативно одаренные, что с карандашедро4ителей возьмешь…"
-50536362,hodimvmore,542293,"Белая кость, епт"
-50536362,hodimvmore,542293,"Прямо как в сказке, Иван дурак🤣🤣🤣"
-50536362,hodimvmore,542293,"Так надо было сразу на судовода идти, теперь уже поздно, тяни лямку 😉😄"
-50536362,hodimvmore,542293,"Быстро заканчиваешь контракт маслопупом, быстро собираешь необходимые документы, быстро подаешь их на судовредителя, быстро учишься там 3-6 лет, а в это время быстро делаешь доки на рогачеса и пока учишься на судовредителя, чипаешь быстро палубу таким образом, что бы контракта 4-5 было рогачесом до получения диплома судовредителя."
-50536362,hodimvmore,542293,"Слабак. Сразу видно, не курящий. )))))))"
-50536362,hodimvmore,542293,Иди на гинеколога
-50536362,hodimvmore,542293,"Быстро не получится.Но чуть быстрее будет через среднюю мореходку. Либо учись на судовода , либо ,если в механиках остаёшься, работай на судах где используют только дизельное топливо, и на относительно молодых судах (до 10ти лет) ,и не на китайцах."
-50536362,hodimvmore,542275,"Спасибо, но этого «шоколада» - хватило. Больше, не хо….😊😄"
-50536362,hodimvmore,542269,👍
-50536362,hodimvmore,542269,Буксир?
-50536362,hodimvmore,542269,Буксир?
-50536362,hodimvmore,542269,Вахта в ходу!!!
-50536362,hodimvmore,542269,"[id147891776|Дядя], вроде взрослые дяди, а вот эти ноги там где должны быть руки, зачем? 
Элита флота? дом колхозника!  
🤣🤣🤣🤣"
-50536362,hodimvmore,542269,"Свинья за стол и ноги на стол, у нас так раньше говорили"
-50536362,hodimvmore,542269,"[id20528969|Александр], ...на приборную панель тоже не дело."
